Sentence,English_Translation
Bahut time baad suna yeh! Acha laga,Heard this after a long time! It was nice
"kuch nhi samjha kabhi, itne saare cheezo se deal karna aata tho sayad life me succesfull hota.","Never understood anything, if I know how to deal with all these stuff then i would be sucessful already"
Tharak saale har ladki ko mention karna h tuje,pervert brat you are the one to mention all the girls
shi h,That is correct
Aaj match h na? Ki kal?,is there a match today or is it postponed to tommorow?
text karo phr dekhtay hai,first of all text it then we will figure out later
"Abe Congressiyo, Nigerians b insaan hote hai, bandar nahi. Kyon itna bura maan gaye.","hello Mr congressians, nigerians are also humans, not monkeys. Why did you feel so bad?"
kitne dukh ki baat h na,How sad it is
TripleTalaq ho ya Divorce usshme koi matvate Rajnetic Na hona chahiye. Mahilayo ke  liye sharaph ke saman hi h. Triple Talaq ko roke.,"whether it might be triple talaq or anything there should not be a political side in the divorce of a women.TripleTalaq is like a bane for women,so stop the triple talaq bill."
tum ye karoge mere saath? Maine aaj tak tumhe kuch ulta b kaha hai? Hadh hoti h,Will you do this to me? did i say anything that hurts you till now? there is a limit for everything
waise tu boli nai ki hai kaha se,you didn't tell me where you are from.
luncher paaji pehle chai k saath biscuit kha rhe the .  .,Luncher uncle was earlier eating biscuits with tea...
"toh phir theek h, aise kisi Ladki ke T-shirt me kuch bhi kaise daal sakta hai koi?","ok then, how can anyone put anything in such a girl's t-shirt?"
to twitter walo ki khush-naseebi h,ohh then the people who use twitter are the happiest
Happy Birthday Dhoni & Hello to Sakshi bhabhi. Aur baaki sab khairiyat?,Happy Birthday Dhoni & Hello To Sakshi sister in law. And is everyone fine over there.
"LOL, phenk deta to bechare ka phr kat jaata bill, isiliye lauta diya chup chaap. #EkBhaiKeLiye","Lol, if you threw it, he would had a breakup once again so i returned it to him silently .#Forabrother"
"Did Arun Lal say, ""Yeh dekhiye Bangladeshi player kushi se apne andkosh takra rhe hai""","Did Arun Lal Se, ""See Bangladeshi Players Happily Banging Their Testicles """""
Sab kuch shi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali h aaj raat ... why .. why ??,Everything was going well in life .. but suddenly Sony TV is going to telecast the movie Dilwale tonight ... why .. why ??
kuch pata h students k mehenge din agaye hai?? gst laga dia hai bas kuch socha tha pehle?,do you know the students are having the costliest days?? every thing has gst did he think about it before?
aankh band karte hi shruti hassan nazar aati h,Shruti Haasan appears as soon as I closes my eyes
Gud mrng sir aapko Mahashivratri ki hardik mangal kamnaye,good morning sir greetings for mahashivaratri.
"Sorry, muje laga raat k 11.30 baje h.","sorry, I thought it was 11:30 night"
Phone ka wallpaper dekhte dekhte zindagi kat rhi hai.,I'm spending my life seeing my phones wallpaper
Yeh baatli chahiye mujhe,I want this bucket
mein Temporary Ban to lag Chuka hai 0 Koi baat nahin h,"got a temperary ban. So, its not a problem"
"Toh phr toh achhi baat hai nhi, mitthaiyan khilao!","So, it is good news. Feed sweet."
OMG kisi ne RT spree diya saalo baad.. Thanks,OMG someone spreed RT after years... Thanks
ye Amit bhai ne nhi Muhammad Ali ne kaha tha pagli,It was said by Muhammad Ali not Amit.
"Please follow,yeh log free mein daaru pilaate h","Please follow, These people give free drinks"
yeh kya hai?,What is this?
Haar aur Jeet to khel ka hissa h. Yeh wala bahut din taklif dega wo kissa hai.,winning or losing is a part of game. This story gives longterm stress
hamari kashti waha doobi jaha paani kam tha,Our ship will sink where the water is less
mera motive kuchh aur tha,my motive was different.
yeh le ek or.,here take another.
Guru ji ko pehchanne se inkar karne wale logo ko Pakistani visa ke sath passport muft diya jaaye. Pranam.,the people who cant recognize Guruji will get a pakistani visa and a free passport.
"Yar, koi ye bata do ke yeh ladki h kaun?",somebody tell me who this girl is?
haa khush ho ja Pakistani,go be happy Pakistani
Rulaoge kya?,Are you making us cry?
India aur Sri lanka ek he hai sir,India and Sri Lanka both are same.
ISI ko bulao vote dene k liye,call ISI to give their votes.
"Bas aise he reviews ki zaroorat hai, kaafi protsahan milta h in baato se. ","I just need reviews like these,this motivates me a lot"
"Shi hai, bada aadmi h tu. Kya chal rha hai? Kab milna?","u have become a famous person,whats going on? when do we meet?"
ye bohot pehle ho chuka hai,This happened long back
Salmannnnn aaa intezaar idhar ? tere liye ?,"salman come here, I am waiting"
arey kabi kabhi toh aap dhang ki baat karte ho,you rarely talk about sensible things
Bhai  shave kr lena,brother  shave
mujhe to bas ek tera sahara h..,you are the only one for me.
hahaa.. Matlab ab date yaad dilaogee,hahaa.. Now you will make me remember the date
khusi hui tumara janamdin aaya,Iam happy that your birthday has come.
kahi rajnikant to nhi tha .  .,was he Rajnikant by any chnace.
ei maan nahi rhe hai,isnt agreeing at all
Keerthi ! lets open a NGO together ! toote dil ke marezo k liye,Keerthi ! lets open a NGO together ! for the heartbroken patients.
india kbhi bhi china ko peeeche nhi kr paaega.....,india can never go past china
That Spin ! Ravi Ashwin . Kuch nai ho sakta bhai Africa ka World Cups mei,That Spin ! Ravi Ashwin . nothing can happen for africa in the world cups
mummy khane me kya hai,mummy whats there to eat?
chalk churane ka bhi apna maza tha,stealing chalks was also some kind of fun
"ji bilkul, iss baat ka toh inkaar nhi kar sakte.","yeah sure, we cant deny this ."
"Sabko bacha kaho,sirf mere ilawa ok","call everyone a kid except me ,ok"
ek nhi mili ab tak,didnt find atleast one till now
mujhe bhi dena zara 5 rs. Bhook lagi h,"I am hungry too ,give me something for 5rs."
"bahot badiya ,  bahut hi undaa ,  kya baat ,  kya baat .  dil jit liya tune toh .  .  .  :d","very good,amazing,you have won my heart."
Tanmay jail ko he jata,Tanmay only go to jail
"Shakti bechara kabi kuch bolta nhi h, he is like a husband even before marriage.",So sad of Mr Shakthi because he never speaks out just like the husband before the marriage.
Phone dekhne me taqleef hai kya?,Is it problamatic for you to see the phone?
bas badiya sab.Upar wale ka sahara h. Abhi chai pee rhe hai,"All good mate, now i'm drinking the tea just because of gods grace"
Zamana kharaab h,These aren't good days
"Hello saadu saahab (senior bro in law), kya haal chaal?","hello senior,hows everything going on?"
"jabatdast dost, 1 page me rula diya yaar, kamaal h, superb nd hatss off to ur crearivity","amazing my friend you  made me cry with that one page,hats off to your creativity"
muje laga sab bhool gaye honge,i thought everybody forgot about it
Salman khan kaha ho?,where are you salman khan?
pagal aurat h,she is a crazy lady.
atleast jise thand lagti ho usee de diya karo,atleast give it to someone who is feeling cold.
"Hiii sir , aapse milne kaa sirf ek maaukaa chaahtaa hu",hello sir i just want one chance to meet you.
bhai aajkal sab k paas 4-4 car hai. Ab to kisi series me Helicopter gift hoga tab maza aayega,bhai aajkal now days everybody has 4 cars.it would be fun to see helicopters being gifted in tv series.
Aaj Indrani ka kitne naye patiyo ka pata chala.Koi update karega?,can anyone update me about how many husbands of indrani have been discovered?
"kuchh nhi, ek tweet padh k gussa aa gaya","i got angry reading one tweet,nothing else"
cheapest nhi pucha. Best pucha h.,I didnt ask for the cheapest .I asked for the best
YE DEKH LO DUNIYA WALO,see this the people of the world
Aaj kal yeh hi bikta h bhai!,this only gets sold these days brither.
Dhoni bhai ek din ball tod hi denge!,dhoni will someday break the ball.
Bhai kuch kal k liye bhi chod de.I hope that India wins the World Cup,Brother leave something for tomorrow. I hope that India wins the World Cup
Bahot he undaa!,very high level!
Ye dekh!,see this
mujhe toh nhi aaya phone,I didnt get the phone
"Rahul Gandhi kuch bhi kar le, log use Pappu he samjhenge.","whatever rahul gandhi does ,people will still think he is a Pappu "
Aj ya windies larkia leke jaegi ya boys,today this windies will take home girls or boys
bahut bold h aap,You are very bold.
"Chain ik pal nhi, aur koi hal nahi ",i dont get peace for a second and there's no solution for that.
sir aap badal gaye ho. Aajkal milte he nhi ho. Kitna wait kia aapka ghar k bahar,sir you have changed.you dont meet up these days.I waited outside your house for so long
"Sunil, tu aur mai Janta me jaa kar piyenge","Sunil, lets drink in the public."
"nhi lia hai, not worth it","It hasn't been taken , not worth it"
aur free wifi b wahi h. Lol,and there's free wifi over there too Lol.
"jo keya, acha kia",u did well.
guddu k papa toh emotional ho gye ,guddu's father got emotional
"kya yaar, sarcasm nhi samajte ",you dont understand sarcasm my friend
Tu h meri kiran,you are my light
Mhari chhoriya chhoro se kam hai ke?,are our girls lesser than the boys?
"Baby, holiday, Gabbar jeisi awesome movies akki hi kar sakta h","awesome movies like Baby,Holiday,Gabbar can be done only by akki"
Mom mujhe budget budget khelna h,"Mom I want to play ""budget budget"""
"Beta , tumare women empowerment khelne k din hai","son ,now its the time to play women empowerment"
Australia se kya layee mere liye,what did you get me from australia
tum itne teekhe kyu hote ho mere saath? Kya kia h maine?,why do you get annoyed by me?what did I do?
Sir hamara kya hoga hum bhii na haar jaaen kahi,What will happen to us sir? 
Dilwale ka trailer kab aa rha h ?,when is the trailer of Dilwale going to come out?
Kaa jaage ho be?,why are u guys awake?
chee chee gandhi baate,bad words
Bade dhoke hai iss raah me,there are many betrayals on this path.
Aise aa rhi h Bihaar me Bahaar,It seeems like spring season is going to start in bihar
bahot he uchh darje ka ghatiyapan tha yeh.,this was a  high level of  stupidity
haan Bhai aur hot b,yes brother and hot too
"iska koi connect nahi tha iske saath, magar achha line hai.
Mai confused hu ki woh bhai desi h ya videsi.","this doesnt have any connection but its  a good line,i am confused that  whether he is a desi or videsi"
nhi bhai mere tweets par log rote h,"nope brother ,people cry over my tweets"
Mai aaj b pheki huee Ball nahi uthata,even today i dont pick up  a ball which is thrown
"sirf tumare liye, chhodo ye sab hate. Aao pyar ki baate kare DM par. Ok?","just for u, lets stop hating. lets talk about love on your DM. Ok?"
Haa bhai Ayesha ke sab fan h,"Yes brother, all Ayesha fans are here"
"Laluji, aapne 11 bacche kyo paida kiye?","Laluji, why did you give birth to 11 children?"
Kyonki uske baad hum thak gaye thay.,because i got tired after that.
"""isa na hua hota agar aapne Modi ko PM na banaya hota""","""this wouldnt have happened if uyou people hadnt made him the PM """
Kal kaam par tumare abba jaenge? So jao.,will your dad go for work tomorrow?go sleep.
Oy Balle Balle 1 aur Four,Oye Balle Balle 1 more four
Sab khana kha ke daru pee chale gaye..,Everybody ate food and went out to drink.
"mast h, aap b dekha karo, daru ki zarurat nhi padti phr","its amazing,you should also watch it.then you wouldnt need alcohol"
Thodi si jo pee li h.chori to nhi ki hai,"I just drank a littlr bit of it , i didnt steal anything."
kya sir? Achha tha bhai,"what sir? its good ,bro"
"ha ha ha, santa inka naam bhi note kar le","lol,Santa note down their names."
inn logo se ruka hua h desh ka uddhar,the debts of our country are still there because of people like this
Sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num,Sir  I am a big fan of u and this is my contact number
"""Sir GST rate cut ka fayda Consumer ko nhi mil rha ""hai trader base price up karke usi price par bechta h",""" Sir consumer is not getting any benefit of this #GST rate cut, trader is rising base price and selling on the same price"""
"Entertainment sabko free ka he chahiye hota h, haaye yeh zaalim duniya","Everyone needs free entertainment, Damn this atrocious world!"
"aaj k latest xbox aur ps se zyada bhokal uss time  "" udne walla mario ""  ka hota tha","""Flying Mario"" is far better than this generation's xbox and ps."
"Aa gaya mouka, India won","Got a chance, India won"
bilkul sahi..Bihar may achhe din toh aaney he they,Absolutely correct. Bihar may get good days
SamajwadiParty se Gathbandhan to kar liya unhone,They made SamajwadiParty in Gathbandhan
Jor se poetry lagi h.,Poetry hit hard
tuh teen baar talak bol dena,Say talak three times
"Jin logo ko FAN k bina neend nhi aati wo movie zaroor dekhe, isse unhe neend aajayegi.","Those people who wouldn't get sleep without FAN, should watch this movie, will get sleep."
tu ja naha kar aah,Go take bath and come
kahi tu whi tom boy typ ladki to nhi jiske bare me kal ek ladke ne confession post kia tha  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  lol,"Are you that tomboy type girl, who confessed by a boy in the yesterday's post."
She wants to see my ration card..  Apne ghar se Bajrangi Bhaijaan ko beja tha.. Bhool gayee,She wants to see my ration card.We sent Bajtngi Bhaijaan from our home. She forgot that
ANGREZO BHARAT CHHODO,Britishers! leave India.
delete kar dia,I deleted.
reland yeh to tumaari batting ka Pakistan ho gaya,""" #lol ... #Ireland batting has become like #Pakistan's batting #CWC15 #INDvsIRE """
aasoo khushi ke,Tears of happiness
Jalne walo jalte raho Modi ji aap aage badho,Haters will keep hating.. Modi will keep going
lets hope. Mujhe to umeed kam hai,lets hope.. but i have meagre hopes
aisa kia tumne? Bhagwan se daro. Waise insta pe tumare pics bahot zyada achhe hai,you did this? Be scared of God. By the way your instagram photos are too good.
"Aaj to kohli tum logo ko akele pela hai , socho zara jb 125 crore log pelenge tab kya hoga.","Today kohli alone smashed you, what if 125 Indians smash you?"
phone me network nahi mil rha yar,Ugh! My phone isn't getting network.
"mat karo pyar, kyu barbaad hona h?",Don't love. Why to get ruined?
sir hamare ghar me white wash ho rhi thi. isliye copy ghar pe reh gayi,"My house was getting white washed, so i left my book at home"
apna kaam kudh karo.,Do your own work.
he's my dad but hum unhe pura match kabi nhi dekhne dete it's a pretty big feat,He's my dad but We don't let him watch the whole match it's a pretty big feat
Ankit ne Arnab ko Modi ka kutta bola,Ankit said that Arnab is Modi's dog. This evening will be fun.
Modi ji. yeh galat baat h jo aapne 3 crore ka stage lagwa raha han. please think about it,"Modi ji.this is not fare, you are spending 3 crores for a stage.please think about it."
twitter kam ho gaya h,twitter is done.
PRABHU KE GHAR MIE DER PR ANDHAER NAHI YEH SATYA H,May be you will be late in Prabhu's house but you will be enlightened
mujhe mil gayaa haii,I got it
isiliye ab kejriwal k samarthan me aa gaye,That's why i support kejriwal
miranda house ka bi page hona chahie ab to,"Now, we need to have a page for miranda house"
Mishra ji ise haathi bol kar haathi jaise achche jeevo ko gaaliya na de,"You are insulting elephant, by comparing it with him Mr. Mishra"
yeh sach h milord,"This is the truth, My lord!"
aajkal hum khud he ghum rhte hai. Ladki chhod k chali gayee. Dil he toot k reh gaya hai,"I stay lost these days, because my girl left and i was heartbroken"
Aapko doubt h. Apna phone number dijiye. Abhi doubt door kar dete haii,If you have a doubt contact this number you'll get clarified
hahaha very nice maine b kai bar kia h .,"Lol! Very nice, i have done it many times too"
gantantra divas k laddu wah bhai kya baat kya baat kya baat .  .  .,The sweet distributed on Republic Day was awesome!
meri purani h isse door rahiyo,Its old please keep distance.
Dil aur Dimaag hamesha khule hone chahiye.,Mind and heart should always be open.
"aur agr aaj koi kuch bola to ""bura na mano holi hai""","If someone gets offended, just say ""Don't feel bad, today is holi"""
Ab ArvindKejriwal apna Jan lokpal ka vaada kab poora kar rhe h ??,When will AravindKejrival fulfill his promises of our Janlokpal
mere sapno ki Rani kab ayegi tu?,When will the queen of my dreams come?
same here bassss 20 ki jageh 5 milte the maa se,"Same here, but i used to get 5 instead of 20 from mom."
mai to Bhopal me he kha rha,I would like to eat in Bhopal.
